id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kode_kecamatan,nama_kecamatan,kode_kelurahan,nama_kelurahan,jenis_kelamin,jumlah_penduduk,satuan,tahun
37,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030001,CIHERANG,LAKI-LAKI,3748,JIWA,2015
38,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030001,CIHERANG,PEREMPUAN,3674,JIWA,2015
39,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030002,CIAKAR,LAKI-LAKI,2842,JIWA,2015
40,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030002,CIAKAR,PEREMPUAN,2804,JIWA,2015
41,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030003,MARGABAKTI,LAKI-LAKI,1708,JIWA,2015
42,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030003,MARGABAKTI,PEREMPUAN,1740,JIWA,2015
43,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030004,AWIPARI,LAKI-LAKI,2599,JIWA,2015
44,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030004,AWIPARI,PEREMPUAN,2565,JIWA,2015
45,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030005,KOTABARU,LAKI-LAKI,6372,JIWA,2015
46,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030005,KOTABARU,PEREMPUAN,6238,JIWA,2015
47,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030006,KERSANAGARA,LAKI-LAKI,4219,JIWA,2015
48,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030006,KERSANAGARA,PEREMPUAN,3938,JIWA,2015
49,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030007,SETIAJAYA,LAKI-LAKI,2988,JIWA,2015
50,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030007,SETIAJAYA,PEREMPUAN,2925,JIWA,2015
51,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030008,SETIARATU,LAKI-LAKI,3499,JIWA,2015
52,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030008,SETIARATU,PEREMPUAN,3373,JIWA,2015
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030009,SETIANAGARA,LAKI-LAKI,2373,JIWA,2015
54,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278030,CIBEUREUM,3278030009,SETIANAGARA,PEREMPUAN,2406,JIWA,2015
55,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031001,SUKANAGARA,LAKI-LAKI,4082,JIWA,2015
56,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031001,SUKANAGARA,PEREMPUAN,3949,JIWA,2015
57,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031002,SUKAMENAK,LAKI-LAKI,4000,JIWA,2015
58,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031002,SUKAMENAK,PEREMPUAN,3771,JIWA,2015
59,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031003,PURBARATU,LAKI-LAKI,2996,JIWA,2015
60,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031003,PURBARATU,PEREMPUAN,2934,JIWA,2015
61,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031004,SUKAASIH,LAKI-LAKI,3080,JIWA,2015
62,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031004,SUKAASIH,PEREMPUAN,2940,JIWA,2015
63,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031005,SUKAJAYA,LAKI-LAKI,3341,JIWA,2015
64,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031005,SUKAJAYA,PEREMPUAN,3102,JIWA,2015
65,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031006,SINGKUP,LAKI-LAKI,3611,JIWA,2015
66,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278031,PURBARATU,3278031006,SINGKUP,PEREMPUAN,3513,JIWA,2015
67,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040001,KAHURIPAN,LAKI-LAKI,10710,JIWA,2015
68,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040001,KAHURIPAN,PEREMPUAN,10563,JIWA,2015
69,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040002,CIKALANG,LAKI-LAKI,6956,JIWA,2015
70,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040002,CIKALANG,PEREMPUAN,6871,JIWA,2015
71,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040003,EMPANGSARI,LAKI-LAKI,3823,JIWA,2015
72,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040003,EMPANGSARI,PEREMPUAN,3862,JIWA,2015
73,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040004,TAWANGSARI,LAKI-LAKI,2529,JIWA,2015
74,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040004,TAWANGSARI,PEREMPUAN,2584,JIWA,2015
75,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040005,LENGKONGSARI,LAKI-LAKI,7833,JIWA,2015
76,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278040,TAWANG,3278040005,LENGKONGSARI,PEREMPUAN,7930,JIWA,2015
77,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050001,TUGUJAYA,LAKI-LAKI,5784,JIWA,2015
78,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050001,TUGUJAYA,PEREMPUAN,5433,JIWA,2015
79,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050002,TUGURAJA,LAKI-LAKI,11992,JIWA,2015
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050002,TUGURAJA,PEREMPUAN,11468,JIWA,2015
81,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050003,NAGARAWANGI,LAKI-LAKI,3546,JIWA,2015
82,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050003,NAGARAWANGI,PEREMPUAN,3565,JIWA,2015
83,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050004,YUDANAGARA,LAKI-LAKI,2522,JIWA,2015
84,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050004,YUDANAGARA,PEREMPUAN,2642,JIWA,2015
85,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050005,CILEMBANG,LAKI-LAKI,8117,JIWA,2015
86,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050005,CILEMBANG,PEREMPUAN,7967,JIWA,2015
87,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050006,ARGASARI,LAKI-LAKI,6368,JIWA,2015
88,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278050,CIHIDEUNG,3278050006,ARGASARI,PEREMPUAN,6177,JIWA,2015
89,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060001,KARIKIL,LAKI-LAKI,4213,JIWA,2015
90,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060001,KARIKIL,PEREMPUAN,4007,JIWA,2015
91,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060002,CIGANTANG,LAKI-LAKI,4985,JIWA,2015
92,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060002,CIGANTANG,PEREMPUAN,4706,JIWA,2015
93,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060003,SAMBONGJAYA,LAKI-LAKI,6879,JIWA,2015
94,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060003,SAMBONGJAYA,PEREMPUAN,6810,JIWA,2015
95,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060004,SAMBONGPARI,LAKI-LAKI,4248,JIWA,2015
96,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060004,SAMBONGPARI,PEREMPUAN,4067,JIWA,2015
97,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060005,LINGGAJAYA,LAKI-LAKI,8769,JIWA,2015
98,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060005,LINGGAJAYA,PEREMPUAN,8546,JIWA,2015
99,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060006,MANGKUBUMI,LAKI-LAKI,7180,JIWA,2015
100,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060006,MANGKUBUMI,PEREMPUAN,7041,JIWA,2015
101,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060007,CIPARI,LAKI-LAKI,4446,JIWA,2015
102,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060007,CIPARI,PEREMPUAN,4260,JIWA,2015
103,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060008,CIPAWITRA,LAKI-LAKI,3614,JIWA,2015
104,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278060,MANGKUBUMI,3278060008,CIPAWITRA,PEREMPUAN,3551,JIWA,2015
105,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070001,PANYINGKIRAN,LAKI-LAKI,4482,JIWA,2015
106,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070001,PANYINGKIRAN,PEREMPUAN,4287,JIWA,2015
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070002,PARAKANNYASAG,LAKI-LAKI,5092,JIWA,2015
108,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070002,PARAKANNYASAG,PEREMPUAN,4894,JIWA,2015
109,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070003,SIRNAGALIH,LAKI-LAKI,3964,JIWA,2015
110,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3278070,INDIHIANG,3278070003,SIRNAGALIH,PEREMPUAN,3773,JIWA,2015
